Running for 30 seconds or hit Ctrl-C to end.
CPID      TID      NAME             CPU     REFERENCE         MISS    HIT%
5635     5635     nvidia-modprobe  2          148400         7900  94.68%
5621     5621     nvidia-modprobe  4           11700         9500  18.80%
5644     5644     vkcube           12            500            0 100.00%
5630     5630     nvidia-modprobe  12            700            0 100.00%
1617     1617     Xorg             12           1300          400  69.23%
396      396      kworker/4:2      4          274300        12100  95.59%
5413     5413     kworker/13:2     13           9100         3300  63.74%
5627     5627     nvidia-modprobe  17          22500        31000   0.00%
3222     3251     QXcbEventQueue   14           1300          500  61.54%
2426     2426     upowerd          5           13800        14800   0.00%
2251     2251     at-spi2-registr  17           2400         3500   0.00%
3221     3221     akonadi_akonote  12           2400         1800  25.00%
5618     5618     modprobe         12          10000         1700  83.00%
3715     4011     TaskCon~ller #3  6            5000          900  82.00%
3482     3492     Timer            12           9900         5000  49.49%
55       55       rcuop/8          0            5300         1600  69.81%
3482     3482     firefox          10            400         6400   0.00%
3820     3820     Isolated Web Co  0           28100        24300  13.52%
2939     2939     blueman-tray     4           13100         1000  92.37%
5665     5665     false            12           6900          900  86.96%
20       20       rcuop/0          0           33000        18500  43.94%
994      994      kworker/u80:11   12          18800         9600  48.94%
2440     2440     kgpg             13           2200         1800  18.18%
3982     3997     Timer            14            400          200  50.00%
3555     3555     Socket Process   9            5000         1200  76.00%
3224     3236     QXcbEventQueue   3            4600         2400  47.83%
2625     2625     plank            16           5700         4000  29.82%
1617     1617     Xorg             3          169000       167700   0.77%
3229     3229     akonadi_newmail  1             600         1300   0.00%
3638     3638     WebExtensions    5           16600         5400  67.47%
5600     5669     WSI swapchain e  4           10100         3000  70.30%
4026     4031     IPC I/O Child    19           3300         1900  42.42%
2947     2950     mysqld           12          41600        15400  62.98%
675      675      dmcrypt_write/2  14           2300         3300   0.00%
5631     5631     sh               0            6600          900  86.36%
5644     5644     nvidia-modprobe  4           97800        14200  85.48%
51       51       migration/8      8            4700          700  85.11%
2061     2061     dbus-broker      14           1900          100  94.74%
2752     2752     bamfdaemon       6            6900         3300  52.17%
5639     5639     kworker/18:1     19            800          100  87.50%
190      190      kworker/17:2     17          18700         4100  78.07%
3482     3491     IPC I/O Parent   15           1500          400  73.33%
2625     2666     gmain            0           20400         5400  73.53%
2396     2396     panel-5-netload  8           33700         8000  76.26%
2752     2752     bamfdaemon       0           10800         7300  32.41%
174      174      khugepaged       17           6200        11600   0.00%
5058     5620     StreamTrans #11  12           9100         2700  70.33%
2440     2440     kgpg             9            2300         1900  17.39%
920      920      kworker/u80:10   13         211300        51400  75.67%
3982     5651     StreamTrans #35  2           15900        17600   0.00%
2439     2587     QXcbEventQueue   0            1000          100  90.00%
1617     1819     InputThread      19         252700       208000  17.69%
2939     2939     blueman-tray     9            3300         2700  18.18%
3186     3186     kworker/u80:15   19           2900         3800   0.00%
3482     3506     JS Watchdog      17           3400         1200  64.71%
4026     4041     Timer            14           6900          700  89.86%
2074     2074     xfce4-session    10          10900         4200  61.47%
5658     5658     sh               17           3300         1000  69.70%
5631     5631     false            12           3900         3500  10.26%
2438     2438     xfce4-terminal   16           3800         6400   0.00%
5633     5633     modprobe         18          41800        36600  12.44%
356      356      kworker/17:1H    17           1900         1800   5.26%
1617     1819     InputThread      17           3000          400  86.67%
0        0        swapper/4        4          543500        13300  97.55%
0        0        swapper/15       15          88000        25100  71.48%
2625     2670     gdbus            6            1500         2100   0.00%
198      198      kworker/2:1      2            1300          300  76.92%
3482     3493     Netlink Monitor  15           1600          400  75.00%
5621     5621     nvidia-modprobe  2           44200         2200  95.02%
5600     5669     vkcube           14           4500         1300  71.11%
5647     5647     sh               17          15900         2800  82.39%
5660     5660     nvidia-modprobe  18          21500         6700  68.84%
1617     1617     Xorg             14          83900        49700  40.76%
5653     5653     modprobe         0            5800        13600   0.00%
5636     5636     nvidia-modprobe  17          11300         1100  90.27%
2394     2394     panel-9-power-m  4           11400        12500   0.00%
2273     2273     xfwm4            0           12500        13900   0.00%
2349     2349     xfce4-panel      4            5100        11800   0.00%
0        0        swapper/10       10         107700         8800  91.83%
1617     1617     Xorg             6          174500       120700  30.83%
4026     5052     TaskCon~ller #3  19           5300         1200  77.36%
2438     2438     xfce4-terminal   12          81500        41200  49.45%
5624     5624     nvidia-modprobe  12           9900          600  93.94%
4707     4707     qalculate-gtk    12           2900         2200  24.14%
2572     2572     xdg-desktop-por  12            400          200  50.00%
2390     2390     xfdesktop        8            6000         2800  53.33%
2625     2670     gdbus            14          17700        14000  20.90%
5641     5641     sh               13          21100        20000   5.21%
5631     5631     sh               12          12700         2300  81.89%
5600     5668     WSI swapchain q  16          14300        17000   0.00%
5635     5635     nvidia-modprobe  0           19900          800  95.98%
3482     3482     firefox          15          16600        11400  31.33%
3982     3982     Isolated Web Co  1            8100         2600  67.90%
1617     1617     Xorg             11         353300       176600  50.01%
0        0        swapper/5        5            9800         5300  45.92%
5654     5654     sh               17           2300         8300   0.00%
1617     1617     Xorg             10          80900        71600  11.50%
5648     5648     nvidia-modprobe  12          12100        14500   0.00%
69       69       ksoftirqd/12     12          26700         2800  89.51%
13       13       kworker/u80:1    16          12300         6800  44.72%
761      761      systemd-journal  0            8500        26600   0.00%
5614     5614     sh               12            400            0 100.00%
2439     2587     QXcbEventQueue   19           1800          900  50.00%
2438     2438     xfce4-terminal   17           5500         4200  23.64%
2394     2412     gdbus            0           41800         4800  88.52%
254      254      kworker/16:1H    16          36500        12700  65.21%
5657     5657     modprobe         17           4600        11600   0.00%
0        0        swapper/13       13         616700       117400  80.96%
0        0        swapper/0        0        22920800       304300  98.67%
1617     1617     Xorg             7          227200       163400  28.08%
3482     3506     JS Watchdog      18           5100         1100  78.43%
5614     5614     sh               0           23600         5600  76.27%
2421     2421     xfce4-notifyd    7            3100         2100  32.26%
2625     2625     plank            7            5700         5200   8.77%
5542     5542     kworker/4:0      4           91600         3500  96.18%
3221     3231     QXcbEventQueue   14           4700         1800  61.70%
1617     1819     InputThread      18         636400       405500  36.28%
47       47       rcuog/5          0          514700        11100  97.84%
2625     2665     pool-spawner     14          21100         8700  58.77%
2390     2390     xfdesktop        14           2800         1700  39.29%
2156     2156     gvfsd            8            6700         8900   0.00%
5655     5655     kworker/6:3      13            300            0 100.00%
5648     5648     vkcube           12           5500          700  87.27%
1528     1539     usbmuxd          16          12100         5000  58.68%
5618     5618     sh               12          13000         2800  78.46%
2396     2396     panel-5-netload  0           71300        43100  39.55%
2396     2396     panel-5-netload  15           8800         2200  75.00%
2469     2471     gmain            0           13800         2600  81.16%
1528     1660     usbmuxd          12          33500        11000  67.16%
2438     2438     xfce4-terminal   4           27600        34400   0.00%
2390     2390     xfdesktop        6            3300         2100  36.36%
5600     5669     WSI swapchain e  12           8500         2100  75.29%
1094     1094     irq/183-VEN_06C  17        4236300      2785500  34.25%
5600     5600     vkcube           10          10300        11900   0.00%
5624     5624     vkcube           17           5300          400  92.45%
3482     3983     FSBroker3982     18           1800         2400   0.00%
2672     2672     xfce4-screensav  3            3800         4700   0.00%
5632     5632     vkcube           12            500            0 100.00%
5634     5634     sh               12           5000         6400   0.00%
